,Unnamed: 0,age,ethnicity,full_path,gender,name,filename,tag,face_loc,folder,face_location,,male,length_filename
91,91,49,white,93/nm0000093_rm392537856_1963-12-18_2013.jpg,male,brad pitt,nm0000093_rm392537856_1963-12-18_2013_0.jpg,no-smile,"{'x': 893, 'y': 207, 'w': 306, 'h': 306}",93,"[893, 207, 1199, 513]",,1,43
92,92,49,white,93/nm0000093_rm409525760_1963-12-18_2013.jpg,male,brad pitt,nm0000093_rm409525760_1963-12-18_2013_0.jpg,smile,"{'x': 324, 'y': 405, 'w': 724, 'h': 724}",93,"[324, 405, 1048, 1129]",,1,43
93,93,30,white,93/nm0000093_rm626689280_1963-12-18_1994.jpg,male,brad pitt,nm0000093_rm626689280_1963-12-18_1994_0.jpg,smile,"{'x': 100, 'y': 249, 'w': 445, 'h': 445}",93,"[100, 249, 545, 694]",,1,43
95,95,47,white,93/nm0000093_rm744469248_1963-12-18_2011.jpg,male,brad pitt,nm0000093_rm744469248_1963-12-18_2011_0.jpg,smile,"{'x': 1163, 'y': 246, 'w': 548, 'h': 548}",93,"[1163, 246, 1711, 794]",,1,43
98,98,35,white,93/nm0000093_rm952473600_1963-12-18_1999.jpg,male,brad pitt,nm0000093_rm952473600_1963-12-18_1999_0.jpg,no-smile,"{'x': 81, 'y': 114, 'w': 145, 'h': 145}",93,"[81, 114, 226, 259]",,1,43
99,99,35,white,93/nm0000093_rm969250816_1963-12-18_1999.jpg,male,brad pitt,nm0000093_rm969250816_1963-12-18_1999_0.jpg,no-smile,"{'x': 82, 'y': 115, 'w': 147, 'h': 147}",93,"[82, 115, 229, 262]",,1,43
80,80,44,white,93/nm0000093_rm1087870976_1963-12-18_2008.jpg,male,brad pitt,nm0000093_rm1087870976_1963-12-18_2008_0.jpg,no-smile,"{'x': 80, 'y': 80, 'w': 89, 'h': 89}",93,"[80, 80, 169, 169]",,1,44
81,81,49,white,93/nm0000093_rm1124049920_1963-12-18_2013.jpg,male,brad pitt,nm0000093_rm1124049920_1963-12-18_2013_0.jpg,smile,"{'x': 372, 'y': 465, 'w': 832, 'h': 832}",93,"[372, 465, 1204, 1297]",,1,44
86,86,45,white,93/nm0000093_rm1842579456_1963-12-18_2009.jpg,male,brad pitt,nm0000093_rm1842579456_1963-12-18_2009_0.jpg,smile,"{'x': 178, 'y': 52, 'w': 66, 'h': 66}",93,"[178, 52, 244, 118]",,1,44
87,87,38,white,93/nm0000093_rm1966773760_1963-12-18_2002.jpg,male,brad pitt,nm0000093_rm1966773760_1963-12-18_2002_0.jpg,smile,"{'x': 182, 'y': 126, 'w': 69, 'h': 69}",93,"[182, 126, 251, 195]",,1,44
88,88,44,white,93/nm0000093_rm2242415104_1963-12-18_2008.jpg,male,brad pitt,nm0000093_rm2242415104_1963-12-18_2008_0.jpg,smile,"{'x': 249, 'y': 96, 'w': 85, 'h': 85}",93,"[249, 96, 334, 181]",,1,44
1545,1545,39,white,98/nm0000098_rm179276544_1969-2-11_2008.jpg,female,jennifer aniston,nm0000098_rm179276544_1969-2-11_2008_0.jpg,no-smile,"{'x': 388, 'y': 140, 'w': 138, 'h': 138}",98,"[388, 140, 526, 278]",,0,42
1547,1547,33,white,98/nm0000098_rm338925568_1969-2-11_2002.jpg,female,jennifer aniston,nm0000098_rm338925568_1969-2-11_2002_0.jpg,no-smile,"{'x': 196, 'y': 82, 'w': 146, 'h': 146}",98,"[196, 82, 342, 228]",,0,42
1550,1550,37,white,98/nm0000098_rm496212736_1969-2-11_2006.jpg,female,jennifer aniston,nm0000098_rm496212736_1969-2-11_2006_0.jpg,smile,"{'x': 59, 'y': 89, 'w': 132, 'h': 132}",98,"[59, 89, 191, 221]",,0,42
1551,1551,44,white,98/nm0000098_rm498064128_1969-2-11_2013.jpg,female,jennifer aniston,nm0000098_rm498064128_1969-2-11_2013_0.jpg,no-smile,"{'x': 1494, 'y': 102, 'w': 179, 'h': 179}",98,"[1494, 102, 1673, 281]",,0,42
1552,1552,33,white,98/nm0000098_rm523474944_1969-2-11_2002.jpg,female,jennifer aniston,nm0000098_rm523474944_1969-2-11_2002_0.jpg,no-smile,"{'x': 313, 'y': 54, 'w': 79, 'h': 79}",98,"[313, 54, 392, 133]",,0,42
1553,1553,36,white,98/nm0000098_rm648973312_1969-2-11_2005.jpg,female,jennifer aniston,nm0000098_rm648973312_1969-2-11_2005_0.jpg,no-smile,"{'x': 1231, 'y': 212, 'w': 314, 'h': 314}",98,"[1231, 212, 1545, 526]",,0,42
1554,1554,41,white,98/nm0000098_rm734825472_1969-2-11_2010.jpg,female,jennifer aniston,nm0000098_rm734825472_1969-2-11_2010_0.jpg,smile,"{'x': 75, 'y': 149, 'w': 222, 'h': 222}",98,"[75, 149, 297, 371]",,0,42
1555,1555,41,white,98/nm0000098_rm742887168_1969-2-11_2010.jpg,female,jennifer aniston,nm0000098_rm742887168_1969-2-11_2010_0.jpg,no-smile,"{'x': 950, 'y': 423, 'w': 314, 'h': 314}",98,"[950, 423, 1264, 737]",,0,42
1556,1556,41,white,98/nm0000098_rm788563968_1969-2-11_2010.jpg,female,jennifer aniston,nm0000098_rm788563968_1969-2-11_2010_0.jpg,smile,"{'x': 123, 'y': 70, 'w': 78, 'h': 78}",98,"[123, 70, 201, 148]",,0,42
1557,1557,40,white,98/nm0000098_rm949127424_1969-2-11_2009.jpg,female,jennifer aniston,nm0000098_rm949127424_1969-2-11_2009_0.jpg,no-smile,"{'x': 408, 'y': 171, 'w': 303, 'h': 303}",98,"[408, 171, 711, 474]",,0,42
1558,1558,36,white,98/nm0000098_rm961976832_1969-2-11_2005.jpg,female,jennifer aniston,nm0000098_rm961976832_1969-2-11_2005_0.jpg,no-smile,"{'x': 40, 'y': 79, 'w': 177, 'h': 177}",98,"[40, 79, 217, 256]",,0,42
1559,1559,44,white,98/nm0000098_rm963298816_1969-2-11_2013.jpg,female,jennifer aniston,nm0000098_rm963298816_1969-2-11_2013_0.jpg,no-smile,"{'x': 434, 'y': 456, 'w': 192, 'h': 192}",98,"[434, 456, 626, 648]",,0,42
1540,1540,36,white,98/nm0000098_rm1096653568_1969-2-11_2005.jpg,female,jennifer aniston,nm0000098_rm1096653568_1969-2-11_2005_0.jpg,smile,"{'x': 80, 'y': 107, 'w': 119, 'h': 119}",98,"[80, 107, 199, 226]",,0,43
1541,1541,40,white,98/nm0000098_rm1107397120_1969-2-11_2009.jpg,female,jennifer aniston,nm0000098_rm1107397120_1969-2-11_2009_0.jpg,smile,"{'x': 112, 'y': 69, 'w': 76, 'h': 76}",98,"[112, 69, 188, 145]",,0,43
1542,1542,40,white,98/nm0000098_rm1124174336_1969-2-11_2009.jpg,female,jennifer aniston,nm0000098_rm1124174336_1969-2-11_2009_0.jpg,smile,"{'x': 79, 'y': 56, 'w': 100, 'h': 100}",98,"[79, 56, 179, 156]",,0,43
1543,1543,42,white,98/nm0000098_rm1192934912_1969-2-11_2011.jpg,female,jennifer aniston,nm0000098_rm1192934912_1969-2-11_2011_0.jpg,smile,"{'x': 528, 'y': 247, 'w': 314, 'h': 314}",98,"[528, 247, 842, 561]",,0,43
1544,1544,43,white,98/nm0000098_rm1340519936_1969-2-11_2012.jpg,female,jennifer aniston,nm0000098_rm1340519936_1969-2-11_2012_0.jpg,smile,"{'x': 943, 'y': 416, 'w': 167, 'h': 167}",98,"[943, 416, 1110, 583]",,0,43
1546,1546,41,white,98/nm0000098_rm2936963072_1969-2-11_2010.jpg,female,jennifer aniston,nm0000098_rm2936963072_1969-2-11_2010_0.jpg,smile,"{'x': 84, 'y': 84, 'w': 150, 'h': 150}",98,"[84, 84, 234, 234]",,0,43
1548,1548,34,white,98/nm0000098_rm3414137088_1969-2-11_2003.jpg,female,jennifer aniston,nm0000098_rm3414137088_1969-2-11_2003_0.jpg,no-smile,"{'x': 161, 'y': 161, 'w': 159, 'h': 159}",98,"[161, 161, 320, 320]",,0,43
1549,1549,25,white,98/nm0000098_rm4159102208_1969-2-11_1994.jpg,female,jennifer aniston,nm0000098_rm4159102208_1969-2-11_1994_0.jpg,smile,"{'x': 647, 'y': 405, 'w': 361, 'h': 361}",98,"[647, 405, 1008, 766]",,0,43
979,979,32,white,06/nm0000106_rm92441856_1975-2-22_2007.jpg,female,drew barrymore,nm0000106_rm92441856_1975-2-22_2007_0.jpg,no-smile,"{'x': 1247, 'y': 362, 'w': 292, 'h': 292}",6,"[1247, 362, 1539, 654]",,0,41
960,960,32,white,06/nm0000106_rm109219072_1975-2-22_2007.jpg,female,drew barrymore,nm0000106_rm109219072_1975-2-22_2007_0.jpg,no-smile,"{'x': 559, 'y': 296, 'w': 292, 'h': 292}",6,"[559, 296, 851, 588]",,0,42
976,976,32,white,06/nm0000106_rm599889920_1975-2-22_2007.jpg,female,drew barrymore,nm0000106_rm599889920_1975-2-22_2007_0.jpg,no-smile,"{'x': 209, 'y': 72, 'w': 48, 'h': 48}",6,"[209, 72, 257, 120]",,0,42
977,977,39,white,06/nm0000106_rm645123584_1975-2-22_2014.jpg,female,drew barrymore,nm0000106_rm645123584_1975-2-22_2014_0.jpg,no-smile,"{'x': 1345, 'y': 460, 'w': 292, 'h': 292}",6,"[1345, 460, 1637, 752]",,0,42
978,978,39,white,06/nm0000106_rm896781824_1975-2-22_2014.jpg,female,drew barrymore,nm0000106_rm896781824_1975-2-22_2014_0.jpg,no-smile,"{'x': 1191, 'y': 110, 'w': 192, 'h': 192}",6,"[1191, 110, 1383, 302]",,0,42
961,961,28,white,06/nm0000106_rm1254136064_1975-2-22_2003.jpg,female,drew barrymore,nm0000106_rm1254136064_1975-2-22_2003_0.jpg,no-smile,"{'x': 287, 'y': 62, 'w': 60, 'h': 60}",6,"[287, 62, 347, 122]",,0,43
962,962,26,white,06/nm0000106_rm1609731328_1975-2-22_2001.jpg,female,drew barrymore,nm0000106_rm1609731328_1975-2-22_2001_0.jpg,no-smile,"{'x': 1299, 'y': 347, 'w': 387, 'h': 387}",6,"[1299, 347, 1686, 734]",,0,43
963,963,26,white,06/nm0000106_rm1980930048_1975-2-22_2001.jpg,female,drew barrymore,nm0000106_rm1980930048_1975-2-22_2001_0.jpg,no-smile,"{'x': 198, 'y': 92, 'w': 136, 'h': 136}",6,"[198, 92, 334, 228]",,0,43
964,964,32,white,06/nm0000106_rm2068879872_1975-2-22_2007.jpg,female,drew barrymore,nm0000106_rm2068879872_1975-2-22_2007_0.jpg,no-smile,"{'x': 119, 'y': 55, 'w': 81, 'h': 81}",6,"[119, 55, 200, 136]",,0,43
965,965,29,white,06/nm0000106_rm2246416640_1975-2-22_2004.jpg,female,drew barrymore,nm0000106_rm2246416640_1975-2-22_2004_0.jpg,no-smile,"{'x': 156, 'y': 190, 'w': 154, 'h': 154}",6,"[156, 190, 310, 344]",,0,43
966,966,29,white,06/nm0000106_rm3219495168_1975-2-22_2004.jpg,female,drew barrymore,nm0000106_rm3219495168_1975-2-22_2004_0.jpg,smile,"{'x': 121, 'y': 138, 'w': 154, 'h': 154}",6,"[121, 138, 275, 292]",,0,43
967,967,35,white,06/nm0000106_rm3221192960_1975-2-22_2010.jpg,female,drew barrymore,nm0000106_rm3221192960_1975-2-22_2010_0.jpg,smile,"{'x': 81, 'y': 81, 'w': 120, 'h': 120}",6,"[81, 81, 201, 201]",,0,43
968,968,24,white,06/nm0000106_rm3271465728_1975-2-22_1999.jpg,female,drew barrymore,nm0000106_rm3271465728_1975-2-22_1999_0.jpg,smile,"{'x': 86, 'y': 54, 'w': 96, 'h': 96}",6,"[86, 54, 182, 150]",,0,43
969,969,29,white,06/nm0000106_rm3558840832_1975-2-22_2004.jpg,female,drew barrymore,nm0000106_rm3558840832_1975-2-22_2004_0.jpg,smile,"{'x': 114, 'y': 53, 'w': 59, 'h': 59}",6,"[114, 53, 173, 112]",,0,43
970,970,34,white,06/nm0000106_rm3603009024_1975-2-22_2009.jpg,female,drew barrymore,nm0000106_rm3603009024_1975-2-22_2009_0.jpg,smile,"{'x': 73, 'y': 127, 'w': 163, 'h': 163}",6,"[73, 127, 236, 290]",,0,43
971,971,34,white,06/nm0000106_rm3619786240_1975-2-22_2009.jpg,female,drew barrymore,nm0000106_rm3619786240_1975-2-22_2009_0.jpg,smile,"{'x': 55, 'y': 111, 'w': 165, 'h': 165}",6,"[55, 111, 220, 276]",,0,43
972,972,35,white,06/nm0000106_rm3875504384_1975-2-22_2010.jpg,female,drew barrymore,nm0000106_rm3875504384_1975-2-22_2010_0.jpg,smile,"{'x': 52, 'y': 129, 'w': 115, 'h': 115}",6,"[52, 129, 167, 244]",,0,43
973,973,23,white,06/nm0000106_rm3887184384_1975-2-22_1998.jpg,female,drew barrymore,nm0000106_rm3887184384_1975-2-22_1998_0.jpg,smile,"{'x': 544, 'y': 287, 'w': 254, 'h': 254}",6,"[544, 287, 798, 541]",,0,43
974,974,32,white,06/nm0000106_rm3991509760_1975-2-22_2007.jpg,female,drew barrymore,nm0000106_rm3991509760_1975-2-22_2007_0.jpg,smile,"{'x': 46, 'y': 115, 'w': 206, 'h': 206}",6,"[46, 115, 252, 321]",,0,43
975,975,32,white,06/nm0000106_rm4025064192_1975-2-22_2007.jpg,female,drew barrymore,nm0000106_rm4025064192_1975-2-22_2007_0.jpg,smile,"{'x': 87, 'y': 109, 'w': 194, 'h': 194}",6,"[87, 109, 281, 303]",,0,43
1580,1580,43,white,15/nm0000115_rm2044107008_1964-1-7_2007.jpg,male,nicolas cage,nm0000115_rm2044107008_1964-1-7_2007_0.jpg,no-smile,"{'x': 314, 'y': 66, 'w': 65, 'h': 65}",15,"[314, 66, 379, 131]",,1,42
1581,1581,46,white,15/nm0000115_rm2203157248_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm2203157248_1964-1-7_2010_0.jpg,smile,"{'x': 914, 'y': 173, 'w': 254, 'h': 254}",15,"[914, 173, 1168, 427]",,1,42
1582,1582,46,white,15/nm0000115_rm2275970304_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm2275970304_1964-1-7_2010_0.jpg,no-smile,"{'x': 61, 'y': 82, 'w': 183, 'h': 183}",15,"[61, 82, 244, 265]",,1,42
1583,1583,46,white,15/nm0000115_rm2426965248_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm2426965248_1964-1-7_2010_0.jpg,no-smile,"{'x': 139, 'y': 62, 'w': 61, 'h': 61}",15,"[139, 62, 200, 123]",,1,42
1584,1584,48,white,15/nm0000115_rm2533536000_1964-1-7_1975.jpg,male,nicolas cage,nm0000115_rm2533536000_1964-1-7_1975_0.jpg,no-smile,"{'x': 96, 'y': 128, 'w': 56, 'h': 56}",15,"[96, 128, 152, 184]",,1,42
1585,1585,40,white,15/nm0000115_rm2546568192_1964-1-7_2004.jpg,male,nicolas cage,nm0000115_rm2546568192_1964-1-7_2004_0.jpg,no-smile,"{'x': 867, 'y': 227, 'w': 336, 'h': 336}",15,"[867, 227, 1203, 563]",,1,42
1586,1586,39,white,15/nm0000115_rm2588645888_1964-1-7_2003.jpg,male,nicolas cage,nm0000115_rm2588645888_1964-1-7_2003_0.jpg,smile,"{'x': 299, 'y': 53, 'w': 78, 'h': 78}",15,"[299, 53, 377, 131]",,1,42
1587,1587,39,white,15/nm0000115_rm2655754752_1964-1-7_2003.jpg,male,nicolas cage,nm0000115_rm2655754752_1964-1-7_2003_0.jpg,no-smile,"{'x': 159, 'y': 62, 'w': 78, 'h': 78}",15,"[159, 62, 237, 140]",,1,42
1588,1588,45,white,15/nm0000115_rm2791147776_1964-1-7_2009.jpg,male,nicolas cage,nm0000115_rm2791147776_1964-1-7_2009_0.jpg,no-smile,"{'x': 657, 'y': 460, 'w': 145, 'h': 145}",15,"[657, 460, 802, 605]",,1,42
1589,1589,46,white,15/nm0000115_rm2807137024_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm2807137024_1964-1-7_2010_0.jpg,smile,"{'x': 1441, 'y': 247, 'w': 314, 'h': 314}",15,"[1441, 247, 1755, 561]",,1,42
1590,1590,46,white,15/nm0000115_rm2857468672_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm2857468672_1964-1-7_2010_0.jpg,smile,"{'x': 686, 'y': 258, 'w': 254, 'h': 254}",15,"[686, 258, 940, 512]",,1,42
1591,1591,42,white,15/nm0000115_rm2986593280_1964-1-7_2006.jpg,male,nicolas cage,nm0000115_rm2986593280_1964-1-7_2006_0.jpg,smile,"{'x': 631, 'y': 746, 'w': 510, 'h': 510}",15,"[631, 746, 1141, 1256]",,1,42
1592,1592,46,white,15/nm0000115_rm3131608320_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm3131608320_1964-1-7_2010_0.jpg,no-smile,"{'x': 60, 'y': 81, 'w': 180, 'h': 180}",15,"[60, 81, 240, 261]",,1,42
1593,1593,46,white,15/nm0000115_rm3148055040_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm3148055040_1964-1-7_2010_0.jpg,smile,"{'x': 142, 'y': 58, 'w': 46, 'h': 46}",15,"[142, 58, 188, 104]",,1,42
1594,1594,46,white,15/nm0000115_rm3164832256_1964-1-7_2010.jpg,male,nicolas cage,nm0000115_rm3164832256_1964-1-7_2010_0.jpg,smile,"{'x': 115, 'y': 48, 'w': 53, 'h': 53}",15,"[115, 48, 168, 101]",,1,42
1595,1595,33,white,15/nm0000115_rm3337525248_1964-1-7_1997.jpg,male,nicolas cage,nm0000115_rm3337525248_1964-1-7_1997_0.jpg,smile,"{'x': 82, 'y': 53, 'w': 52, 'h': 52}",15,"[82, 53, 134, 105]",,1,42
1596,1596,26,white,15/nm0000115_rm3637431296_1964-1-7_1990.jpg,male,nicolas cage,nm0000115_rm3637431296_1964-1-7_1990_0.jpg,no-smile,"{'x': 530, 'y': 148, 'w': 263, 'h': 263}",15,"[530, 148, 793, 411]",,1,42
1597,1597,49,white,15/nm0000115_rm3763194368_1964-1-7_2013.jpg,male,nicolas cage,nm0000115_rm3763194368_1964-1-7_2013_0.jpg,no-smile,"{'x': 372, 'y': 465, 'w': 832, 'h': 832}",15,"[372, 465, 1204, 1297]",,1,42
1598,1598,38,white,15/nm0000115_rm4118910976_1964-1-7_2002.jpg,male,nicolas cage,nm0000115_rm4118910976_1964-1-7_2002_0.jpg,smile,"{'x': 104, 'y': 59, 'w': 132, 'h': 132}",15,"[104, 59, 236, 191]",,1,42
1599,1599,49,white,15/nm0000115_rm4149070336_1964-1-7_2013.jpg,male,nicolas cage,nm0000115_rm4149070336_1964-1-7_2013_0.jpg,smile,"{'x': 952, 'y': 165, 'w': 292, 'h': 292}",15,"[952, 165, 1244, 457]",,1,42
478,478,43,white,23/nm0000123_rm80648192_1961-5-6_2004.jpg,male,george clooney,nm0000123_rm80648192_1961-5-6_2004_0.jpg,smile,"{'x': 39, 'y': 78, 'w': 174, 'h': 174}",23,"[39, 78, 213, 252]",,1,40
463,463,48,white,23/nm0000123_rm191598080_1961-5-6_2009.jpg,male,george clooney,nm0000123_rm191598080_1961-5-6_2009_0.jpg,smile,"{'x': 61, 'y': 61, 'w': 182, 'h': 182}",23,"[61, 61, 243, 243]",,1,41
464,464,45,white,23/nm0000123_rm233675008_1961-5-6_2006.jpg,male,george clooney,nm0000123_rm233675008_1961-5-6_2006_0.jpg,no-smile,"{'x': 229, 'y': 102, 'w': 113, 'h': 113}",23,"[229, 102, 342, 215]",,1,41
475,475,45,white,23/nm0000123_rm418224384_1961-5-6_2006.jpg,male,george clooney,nm0000123_rm418224384_1961-5-6_2006_0.jpg,no-smile,"{'x': 217, 'y': 135, 'w': 92, 'h': 92}",23,"[217, 135, 309, 227]",,1,41
476,476,45,white,23/nm0000123_rm435001600_1961-5-6_2006.jpg,male,george clooney,nm0000123_rm435001600_1961-5-6_2006_0.jpg,no-smile,"{'x': 251, 'y': 71, 'w': 69, 'h': 69}",23,"[251, 71, 320, 140]",,1,41
477,477,45,white,23/nm0000123_rm607296000_1961-5-6_2006.jpg,male,george clooney,nm0000123_rm607296000_1961-5-6_2006_0.jpg,no-smile,"{'x': 228, 'y': 54, 'w': 96, 'h': 96}",23,"[228, 54, 324, 150]",,1,41
479,479,45,white,23/nm0000123_rm971872512_1961-5-6_2006.jpg,male,george clooney,nm0000123_rm971872512_1961-5-6_2006_0.jpg,no-smile,"{'x': 134, 'y': 84, 'w': 150, 'h': 150}",23,"[134, 84, 284, 234]",,1,41
460,460,54,white,23/nm0000123_rm1027145216_1961-5-6_2015.jpg,male,george clooney,nm0000123_rm1027145216_1961-5-6_2015_0.jpg,no-smile,"{'x': 468, 'y': 143, 'w': 115, 'h': 115}",23,"[468, 143, 583, 258]",,1,42
